epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,6265.31,1.57674,1.29676,1.68026,0.70836,0.62115,0.66954,0.30027,1.93189,1.31636,1.9998,0.0008714,0.0008714,0.0008714
59,6377.61,1.5648,1.28501,1.67853,0.68694,0.6078,0.64135,0.29668,1.92728,1.32975,2.0093,0.0008516,0.0008516,0.0008516
60,6489.69,1.57891,1.26396,1.66928,0.69419,0.64374,0.66446,0.29251,1.95306,1.31739,2.01191,0.0008318,0.0008318,0.0008318
61,6601.62,1.54914,1.26126,1.6691,0.70961,0.61468,0.65493,0.2989,1.96785,1.2979,2.04871,0.000812,0.000812,0.000812
62,6713.56,1.5601,1.25438,1.6693,0.66909,0.65092,0.65947,0.30202,1.95077,1.28045,2.02676,0.0007922,0.0007922,0.0007922
63,6825.49,1.54368,1.25743,1.65856,0.71873,0.6386,0.66761,0.29539,1.97621,1.29554,2.04783,0.0007724,0.0007724,0.0007724
64,6937.8,1.52807,1.23242,1.65254,0.69842,0.63483,0.65837,0.29804,1.95499,1.26943,2.0409,0.0007526,0.0007526,0.0007526
65,7049.67,1.54464,1.23255,1.65326,0.69818,0.63651,0.66513,0.29877,1.92757,1.3109,2.02527,0.0007328,0.0007328,0.0007328
66,7162.16,1.52205,1.21901,1.63918,0.67333,0.62423,0.63745,0.29562,1.94935,1.29595,2.04096,0.000713,0.000713,0.000713
67,7275.9,1.53052,1.23252,1.6381,0.70099,0.60575,0.64917,0.29497,1.94829,1.30301,2.04341,0.0006932,0.0006932,0.0006932
68,7387.32,1.50748,1.20157,1.63233,0.69296,0.63257,0.65638,0.29728,1.94868,1.29358,2.04083,0.0006734,0.0006734,0.0006734
69,7498.94,1.5134,1.19854,1.64901,0.71132,0.59959,0.64487,0.29481,1.97694,1.30754,2.04546,0.0006536,0.0006536,0.0006536
70,7611.77,1.51007,1.20011,1.63654,0.69646,0.62423,0.65826,0.29574,1.9645,1.27955,2.06915,0.0006338,0.0006338,0.0006338
71,7723.99,1.50776,1.1942,1.63242,0.71306,0.63273,0.66399,0.29878,1.93284,1.27676,2.02076,0.000614,0.000614,0.000614
72,7836.38,1.50392,1.18073,1.62599,0.68772,0.63655,0.65704,0.29719,1.94731,1.26922,2.05664,0.0005942,0.0005942,0.0005942
73,7949.37,1.4949,1.18902,1.6147,0.71178,0.63641,0.66127,0.30304,1.94807,1.25155,2.03647,0.0005744,0.0005744,0.0005744
74,8063.76,1.48375,1.18049,1.61008,0.6952,0.65802,0.68009,0.30936,1.97314,1.20638,2.06286,0.0005546,0.0005546,0.0005546
75,8182.38,1.47483,1.15263,1.60188,0.70209,0.64363,0.66563,0.299,1.96296,1.23968,2.06505,0.0005348,0.0005348,0.0005348
76,8300.5,1.48167,1.14484,1.60945,0.70263,0.62628,0.66403,0.29927,1.95931,1.24987,2.05858,0.000515,0.000515,0.000515
77,8419.76,1.44614,1.12133,1.58912,0.70063,0.63675,0.66439,0.29887,1.94591,1.26575,2.04386,0.0004952,0.0004952,0.0004952
78,8538.72,1.46333,1.13048,1.59888,0.67191,0.65298,0.65244,0.29968,1.953,1.26972,2.04892,0.0004754,0.0004754,0.0004754
79,8661.02,1.46265,1.13069,1.60818,0.71403,0.63832,0.66584,0.29661,1.97416,1.28223,2.0685,0.0004556,0.0004556,0.0004556
80,8776.56,1.4519,1.09862,1.59409,0.71114,0.64784,0.66895,0.29775,1.96565,1.25248,2.05655,0.0004358,0.0004358,0.0004358
81,8890.86,1.43314,1.10427,1.58035,0.67677,0.67501,0.66665,0.30052,1.97917,1.24883,2.06677,0.000416,0.000416,0.000416
82,8986.1,1.43289,1.09143,1.58409,0.72108,0.66222,0.67774,0.30268,1.98143,1.23026,2.0834,0.0003962,0.0003962,0.0003962
83,9082.31,1.43354,1.09064,1.57067,0.73132,0.65298,0.66507,0.29191,1.98999,1.26284,2.09537,0.0003764,0.0003764,0.0003764
84,9178.03,1.4223,1.09992,1.57185,0.6969,0.66632,0.67007,0.29295,2.0025,1.24766,2.10153,0.0003566,0.0003566,0.0003566
85,9273.8,1.39242,1.07054,1.55528,0.70785,0.64682,0.66329,0.2956,1.98116,1.24164,2.08879,0.0003368,0.0003368,0.0003368
86,9369.35,1.38949,1.08181,1.5529,0.69839,0.65914,0.66672,0.29301,1.97838,1.24723,2.08701,0.000317,0.000317,0.000317
87,9465.45,1.40399,1.08031,1.56388,0.71759,0.63347,0.66158,0.29646,1.98326,1.23566,2.08946,0.0002972,0.0002972,0.0002972
88,9561.8,1.40173,1.05514,1.56058,0.71837,0.65994,0.66922,0.29806,1.98725,1.24243,2.09875,0.0002774,0.0002774,0.0002774
89,9657.82,1.39007,1.03391,1.55296,0.67976,0.65298,0.66289,0.29405,1.97501,1.2681,2.07693,0.0002576,0.0002576,0.0002576
90,9753.57,1.38671,1.04469,1.54486,0.68171,0.66628,0.66566,0.29807,1.98826,1.2259,2.10184,0.0002378,0.0002378,0.0002378
91,9846.88,1.39747,0.92605,1.61983,0.70694,0.64642,0.66024,0.29418,1.97419,1.26062,2.09467,0.000218,0.000218,0.000218
92,9939.74,1.38285,0.86706,1.61295,0.69324,0.63552,0.65248,0.29867,1.96735,1.24832,2.08993,0.0001982,0.0001982,0.0001982
93,10032.7,1.34984,0.85318,1.5958,0.70006,0.64579,0.65928,0.29916,1.98384,1.24179,2.10694,0.0001784,0.0001784,0.0001784
94,10125.6,1.35166,0.85647,1.59022,0.68797,0.63142,0.65028,0.2956,1.97765,1.25821,2.10128,0.0001586,0.0001586,0.0001586
